,Height_metric,Weight_metric,Height_imperial,Weight_imperial,Age
mean,174.88593429158107,73.36078028747433,68.85287474332648,161.73151950718685,28.88911704312115
std,7.948857422712603,12.0195559137945,3.1315302910461615,26.49948946261359,10.059569983017377
